-776 1976 15984 -202 223 4
-788 1960 15756 -210 216 19
-704 1960 15936 -220 216 20
-712 1884 15916 -222 223 8
-848 1932 15896 -227 208 17
-668 1964 15836 -223 208 8
-748 1952 16024 -213 203 -12
-712 1980 15944 -221 204 4
-700 1952 15920 -232 204 9
-764 1988 15932 -224 206 -18
-776 1920 15992 -210 210 20
-736 1864 15840 -214 223 -2
-796 1952 15944 -208 217 25
-720 1908 15932 -213 218 13
-796 1952 15832 -222 199 7
-724 2008 15744 -226 193 -16
-784 1968 15772 -207 183 14
-824 1952 15864 -223 213 -4
-684 2036 15920 -212 195 22
-720 2064 15936 -190 206 -1
-676 1964 15756 -223 189 17
-740 2004 15732 -200 205 -1
-808 1980 15892 -197 203 8
-684 2048 15796 -215 220 9
-824 2088 16032 -218 212 13
-704 1996 15696 -218 199 11
-740 2016 15708 -206 220 20
-712 1964 15952 -208 202 11
-784 2000 15964 -195 219 13
-712 2016 15876 -214 228 -11
-668 1956 15896 -208 195 6
-708 1872 15824 -199 211 10
-748 1992 15792 -235 222 1
-640 2024 15996 -213 203 -2
-672 2048 16004 -223 200 10
-752 1968 15868 -232 213 -10
-736 1928 16012 -214 213 17
-692 2128 15844 -212 202 5
-644 2080 15844 -220 182 14
-740 2064 15852 -216 210 -1
-736 1960 15888 -209 180 -1
-780 2012 16016 -209 208 14
-808 2052 15908 -205 212 5
-732 2032 15856 -212 209 19
-708 1988 15860 -201 201 -30
-720 2116 15844 -210 205 10
-704 2000 15856 -218 201 23
-660 1956 15956 -213 217 3
-676 1960 16000 -201 205 0
-776 2012 15848 -213 202 11
-776 1980 15948 -217 212 -6
-572 2068 15932 -230 225 5
-772 1928 15824 -221 208 -1
-624 1984 15936 -202 209 5
-692 2088 15860 -225 214 -11
-740 2132 15988 -218 220 3
-716 1976 15932 -214 206 17
-788 2056 15964 -205 217 18
-808 2024 15840 -221 206 4
-776 1972 15840 -210 214 1
-716 2048 16084 -217 204 3
-764 1964 15808 -205 206 1
-780 2024 15932 -204 216 15
-776 1976 15776 -223 200 21
-688 1988 15732 -208 209 4
-656 1968 15928 -206 222 2
-760 1984 15960 -208 236 6
-756 1900 15840 -207 218 30
-740 2080 16060 -216 199 0
-804 1948 15940 -224 224 6
-668 1996 15908 -219 193 17
-784 1904 15952 -226 208 -5
-756 1976 15968 -209 208 -3
-804 1972 15932 -241 226 2
-772 1940 15852 -214 230 6
-828 2004 15904 -219 199 0
-860 1944 15848 -204 210 10
-632 1996 15976 -197 194 -8
-772 2000 15820 -203 230 12
-752 1956 15908 -226 234 18
-756 1988 15844 -213 211 9
-732 2040 15872 -221 193 15
-828 2052 15852 -209 216 26
-756 1944 15820 -205 208 7
-788 1868 16056 -222 198 5
-812 1992 15920 -202 223 19
-720 1996 15904 -215 208 3
-680 2076 15896 -200 205 -13
-768 2036 15816 -214 207 6
-708 1952 15928 -230 226 25
-620 2032 15956 -229 190 12
-804 1948 15868 -213 212 20
-792 2040 15800 -203 197 7
-708 1956 16004 -231 213 5
-768 1964 15980 -223 205 2
-716 1980 15936 -210 208 0
-812 1936 15880 -207 191 9
-756 1980 15944 -207 210 40
-816 2040 16072 -210 242 2
